,support,itemsets
949,0.0004264552825398,frozenset({14641})
953,0.000796298704086,frozenset({34118})
954,0.0004609822966623,frozenset({14829})
956,0.0005518101175971,frozenset({11815})
957,0.0004196120905516,frozenset({30878})
958,0.0002892803885937,frozenset({32010})
964,0.0007365763012796,frozenset({12011})
965,0.0002323574734188,frozenset({44340})
969,0.0005623859597607,frozenset({4672})
973,0.0008040750586181,frozenset({19902})
974,0.0005098178031238,frozenset({40303})
975,0.0004703139221008,frozenset({5019})
976,0.0003869514015168,frozenset({35049})
977,0.000400326731312,frozenset({6366})
980,0.000740308951455,frozenset({31236})
982,0.0009512036863653,frozenset({41952})
983,0.0005057740987671,frozenset({7075})
984,0.0002734166253483,frozenset({37378})
988,0.0006367279090875,frozenset({33740})
989,0.0005157278325682,frozenset({35160})
994,0.0002438664781263,frozenset({4302})
996,0.000285236684237,frozenset({23427})
1003,0.0005757612895559,frozenset({41548})
1009,0.0006930287158999,frozenset({25825})
1010,0.0002553754828338,frozenset({20310})
1014,0.0005673628266613,frozenset({23683})
1017,0.000752440064525,frozenset({38267})
1026,0.0003486917372189,frozenset({12807})
1027,0.0003213189692659,frozenset({29110})
1033,0.0006127767371287,frozenset({29111})
1034,0.0005636301764859,frozenset({18220})
1035,0.0004031262189435,frozenset({18409})
1036,0.0003225631859911,frozenset({47242})
1037,0.0002441775323076,frozenset({5674})
1038,0.0002102726265477,frozenset({49465})
1042,0.0013421987922388,frozenset({3870})
1044,0.0004784013308142,frozenset({36639})
1046,0.0002444885864889,frozenset({29246})
1047,0.000201874163653,frozenset({13510})
1055,0.0002071620847348,frozenset({43946})
1056,0.0002024962720156,frozenset({34658})
1061,0.0006451263719822,frozenset({30768})
1062,0.000231424310875,frozenset({49385})
1072,0.0007232009714844,frozenset({47882})
1073,0.0006118435745848,frozenset({15736})
1074,0.0003437148703184,frozenset({27772})
1075,0.0002930130387691,frozenset({2420})
1076,0.0006849413071865,frozenset({15093})
1077,0.0003091878561959,frozenset({13066})
1078,0.0008330030974775,frozenset({9430})
1081,0.0008641085156058,frozenset({40478})
1086,0.0003113652354649,frozenset({16603})
1088,0.000479334493358,frozenset({2407})
1089,0.0004028151647622,frozenset({22124})
1090,0.0003150978856403,frozenset({7856})
1091,0.0002096505181851,frozenset({44328})
1095,0.0008109182506064,frozenset({36729})
1097,0.0006214862542046,frozenset({34497})
1098,0.0005241262954629,frozenset({36842})
1099,0.0003745092342654,frozenset({1581})
1102,0.000666900164672,frozenset({22997})
1107,0.0007717254237646,frozenset({29644})
1109,0.0010454531032942,frozenset({8949})
1115,0.0006031340575089,frozenset({46054})
1119,0.0004759128973639,frozenset({5496})
1120,0.0002152494934482,frozenset({21325})
1124,0.000944360494377,frozenset({32844})
1125,0.0005163499409308,frozenset({26516})
1126,0.000460671242481,frozenset({8663})
1127,0.000268750812629,frozenset({11258})
1128,0.0006973834744378,frozenset({7983})
1130,0.0002404448821322,frozenset({11428})
1134,0.0010566510538204,frozenset({4655})
1139,0.000802830841893,frozenset({38004})
1140,0.0005011082860479,frozenset({49655})
1141,0.0004280105534462,frozenset({35516})
1142,0.0004255221199959,frozenset({46982})
1149,0.0005785607771875,frozenset({33846})
1150,0.0004833781977147,frozenset({27142})
1151,0.0004591159715746,frozenset({19949})
1152,0.0004578717548494,frozenset({4892})
1153,0.0003897508891483,frozenset({46531})
1154,0.0003673549880959,frozenset({5633})
1155,0.0002839924675119,frozenset({47831})
1156,0.0002463549115766,frozenset({15479})
1162,0.0008507331858107,frozenset({26762})
1163,0.0004752907890013,frozenset({12859})
1167,0.0003857071847916,frozenset({33094})
1168,0.00020840630146,frozenset({24037})
1169,0.0012607025967425,frozenset({25914})
1170,0.0007154246169523,frozenset({32778})
1171,0.0003664218255521,frozenset({9547})
1175,0.0010466973200193,frozenset({36399})
1176,0.0009956844342888,frozenset({16753})
1177,0.0007860339161037,frozenset({29174})
1178,0.0007088924791453,frozenset({47428})
1179,0.0005888255651698,frozenset({23050})
1180,0.0005431006005212,frozenset({8724})
1181,0.0004270773909024,frozenset({34218})
1182,0.0003365606241488,frozenset({25118})
1183,0.0002908356595001,frozenset({36177})
1184,0.0002273806065183,frozenset({41945})
1185,0.0002155605476295,frozenset({48705})
1190,0.0004532059421302,frozenset({25430})
1191,0.0003381158950552,frozenset({34270})
1192,0.0003337611365173,frozenset({14575})
1193,0.0002693729209916,frozenset({21104})
1194,0.0002416890988573,frozenset({40816})
1197,0.0004544501588553,frozenset({36946})
1201,0.0010084376557214,frozenset({14871})
1202,0.0006018898407838,frozenset({36300})
1203,0.0005409232212522,frozenset({40195})
1204,0.0004721802471885,frozenset({46655})
1205,0.0003402932743242,frozenset({32259})
1206,0.0002295579857873,frozenset({1196})
1213,0.0007272446758411,frozenset({39526})
1214,0.0006718770315726,frozenset({44195})
1215,0.0005981571906084,frozenset({29136})
1216,0.0004594270257559,frozenset({44284})
1217,0.0003371827325114,frozenset({40493})
1218,0.0003154089398215,frozenset({37451})
1221,0.0002463549115766,frozenset({46362})
1227,0.0007462189808994,frozenset({41766})
1228,0.0003844629680665,frozenset({44248})
1230,0.0003272289987103,frozenset({23413})
1234,0.0011353477616852,frozenset({29112})
1235,0.0005157278325682,frozenset({36757})
1236,0.0004485401294109,frozenset({19378})
1237,0.0003689102590023,frozenset({16740})
1247,0.0002112057890915,frozenset({37882})
1250,0.0007023603413384,frozenset({19204})
1251,0.0008575763777989,frozenset({10505})
1252,0.0004053035982125,frozenset({34551})
1256,0.0007266225674785,frozenset({34682})
1257,0.0004295658243526,frozenset({31590})
1258,0.0003116762896461,frozenset({23200})
1259,0.0002410669904948,frozenset({49174})
1262,0.000771103315402,frozenset({38500})
1263,0.0006631675144966,frozenset({33905})
1264,0.0005368795168955,frozenset({36707})
1265,0.0004799566017206,frozenset({21649})
1266,0.0004762239515452,frozenset({30712})
1272,0.0002718613544418,frozenset({35761})
1273,0.0007707922612208,frozenset({38767})
1276,0.0013599288805719,frozenset({23174})
1277,0.0002970567431258,frozenset({7932})
1278,0.0002202263603488,frozenset({8770})
1294,0.0005748281270121,frozenset({48942})
1295,0.0004659591635628,frozenset({35682})
1296,0.0004099694109318,frozenset({47618})
1297,0.0003066994227456,frozenset({43895})
1298,0.0003813524262537,frozenset({16504})
1299,0.0002382675028632,frozenset({42077})
1300,0.0002276916606996,frozenset({29150})
1301,0.0002208484687113,frozenset({23523})
1304,0.0007238230798469,frozenset({3805})
1306,0.000381663480435,frozenset({16552})
1307,0.0003073215311082,frozenset({48163})
1308,0.0002283137690621,frozenset({36526})
1309,0.0002043625971033,frozenset({45598})
1317,0.0008115403589689,frozenset({6565})
1319,0.000631751042187,frozenset({33456})
1320,0.0004631596759313,frozenset({17329})
1324,0.0008249156887641,frozenset({18579})
1325,0.0005987792989709,frozenset({21223})
1326,0.0005424784921586,frozenset({41445})
1330,0.0006675222730346,frozenset({18563})
1331,0.0006143320080351,frozenset({17634})
1333,0.0003094989103772,frozenset({42423})
1335,0.0009440494401957,frozenset({47854})
1348,0.0007440416016304,frozenset({20427})
1349,0.0005542985510474,frozenset({18277})
1350,0.0004121467902007,frozenset({13772})
1351,0.0003533575499381,frozenset({1346})
1352,0.0002581749704654,frozenset({27620})
1353,0.0002115168432728,frozenset({2140})
1354,0.0008470005356353,frozenset({15919})
1357,0.0004662702177441,frozenset({30701})
1360,0.0011001986392001,frozenset({22271})
1361,0.0002662623791787,frozenset({32103})
1362,0.0002155605476295,frozenset({21637})
1363,0.0004625375675687,frozenset({21368})
1364,0.0003847740222478,frozenset({42109})
1365,0.0003023446642076,frozenset({5331})
1371,0.0003098099645584,frozenset({41721})
1372,0.000289591442775,frozenset({24275})
1373,0.0002668844875413,frozenset({17892})
1381,0.0006594348643212,frozenset({22027})
1383,0.000636105800725,frozenset({24493})
1384,0.0002920798762253,frozenset({18238})
1387,0.0008805943872139,frozenset({41140})
1391,0.0004245889574521,frozenset({27117})
1395,0.0009819980503123,frozenset({36785})
1397,0.0007048487747886,frozenset({21603})
1398,0.0006762317901105,frozenset({29666})
1399,0.0005235041871003,frozenset({7354})
1400,0.0004802676559019,frozenset({31232})
1401,0.0004553833213992,frozenset({9517})
1402,0.000372953963359,frozenset({17704})
1403,0.0003511801706692,frozenset({21383})
1405,0.0003626891753767,frozenset({43883})
1407,0.0002740387337108,frozenset({21879})
1410,0.0008746843577695,frozenset({36315})
1411,0.000652591672333,frozenset({35455})
1417,0.0006591238101399,frozenset({28065})
1420,0.0003626891753767,frozenset({38273})
1421,0.0002192931978049,frozenset({34093})
1425,0.0009819980503123,frozenset({919})
1427,0.0006927176617186,frozenset({27112})
1428,0.0006557022141458,frozenset({6108})
1429,0.0003950388102301,frozenset({17021})
1430,0.0003138536689151,frozenset({39192})
1431,0.0002693729209916,frozenset({3998})
1432,0.0002395117195883,frozenset({25816})
1434,0.0002902135511376,frozenset({8210})
1437,0.0004634707301125,frozenset({19209})
1438,0.0003138536689151,frozenset({3089})
1441,0.0007362652470983,frozenset({29382})
1442,0.0006998719078881,frozenset({36841})
1443,0.0004252110658147,frozenset({24764})
1447,0.0006323731505496,frozenset({257})
1448,0.0005247484038254,frozenset({24495})
1449,0.0004740465722762,frozenset({16607})
1450,0.0004280105534462,frozenset({23832})
1451,0.0003486917372189,frozenset({31656})
1452,0.0002899024969563,frozenset({34599})
1453,0.0010196356062477,frozenset({47108})
1454,0.0006221083625672,frozenset({9775})
1455,0.0003070104769269,frozenset({19930})
1456,0.0004407637748788,frozenset({260})
1458,0.0002737276795295,frozenset({14574})
1461,0.00067125492321,frozenset({17480})
1462,0.0005810492106378,frozenset({28073})
1463,0.0004193010363703,frozenset({20251})
1464,0.0003754423968093,frozenset({40890})
1467,0.0008479336981791,frozenset({46811})
1471,0.0004802676559019,frozenset({25006})
1472,0.0002444885864889,frozenset({24545})
1473,0.0002090284098225,frozenset({35936})
1479,0.0008348694225652,frozenset({22030})
1480,0.0002118278974541,frozenset({42216})
1488,0.000391617214236,frozenset({25710})
1489,0.0002329795817814,frozenset({4660})
1494,0.0003029667725702,frozenset({13251})
1495,0.0006124656829474,frozenset({16460})
1496,0.000250087561752,frozenset({48691})
1497,0.000204051542922,frozenset({48916})
1499,0.0005903808360763,frozenset({38829})
1500,0.0003406043285055,frozenset({53})
1501,0.0003188305358157,frozenset({19394})
1505,0.0006261520669239,frozenset({21507})
1506,0.0004693807595569,frozenset({45152})
1507,0.0004161904945574,frozenset({47729})
1508,0.0003228742401723,frozenset({15458})
1509,0.0002967456889445,frozenset({41368})
1510,0.0002892803885937,frozenset({48655})
1511,0.000262218674822,frozenset({6584})
1512,0.0002233369021616,frozenset({45683})
1514,0.0005459000881527,frozenset({36045})
1518,0.0009029902882663,frozenset({18074})
1519,0.0007235120256657,frozenset({30947})
1520,0.0005235041871003,frozenset({2379})
1521,0.0005228820787377,frozenset({29073})
1522,0.0002843035216932,frozenset({43665})
1523,0.0002012520552905,frozenset({49576})
1532,0.0006799644402859,frozenset({21846})
1533,0.0004404527206976,frozenset({2080})
1534,0.0003947277560489,frozenset({33668})
1538,0.0007599053648758,frozenset({46516})
1542,0.0005990903531522,frozenset({32532})
1546,0.0009144992929738,frozenset({5600})
1547,0.0008152730091443,frozenset({21006})
1548,0.0007686148819518,frozenset({428})
1549,0.0002905246053189,frozenset({30617})
1550,0.0002796377089739,frozenset({39469})
1551,0.000224892173068,frozenset({5910})
1552,0.0007586611481507,frozenset({41613})
1553,0.0003807303178911,frozenset({11970})
1558,0.0006143320080351,frozenset({15007})
1559,0.0002631518373659,frozenset({2236})
1560,0.0002255142814306,frozenset({24153})
1565,0.0009835533212188,frozenset({46463})
1566,0.0007533732270689,frozenset({39046})
1567,0.0006074888160469,frozenset({27675})
1568,0.0004077920316628,frozenset({11817})
1569,0.0004074809774815,frozenset({2049})
1570,0.0003620670670141,frozenset({48735})
1571,0.0002871030093247,frozenset({16893})
1572,0.0008809054413952,frozenset({40753})
1573,0.0003704655299087,frozenset({10582})
1576,0.0009568026616284,frozenset({6843})
1578,0.0007533732270689,frozenset({41763})
1579,0.00071729094204,frozenset({37884})
1580,0.0005598975263105,frozenset({18101})
1581,0.0004581828090307,frozenset({15941})
1582,0.0004121467902007,frozenset({29250})
1583,0.0002927019845878,frozenset({46247})
1586,0.0005011082860479,frozenset({41344})
1590,0.0002196042519862,frozenset({27})
1594,0.0009415610067455,frozenset({16458})
1599,0.0002115168432728,frozenset({9403})
1604,0.00067125492321,frozenset({48439})
1605,0.0005542985510474,frozenset({47657})
1606,0.0002336016901439,frozenset({43793})
1608,0.0010305225025926,frozenset({17145})
1609,0.0006846302530052,frozenset({40734})
1610,0.0004712470846446,frozenset({15126})
1613,0.0006025119491463,frozenset({27633})
1618,0.0004217894698205,frozenset({3871})
1619,0.0003807303178911,frozenset({14639})
1621,0.0004214784156393,frozenset({7135})
1622,0.0003191415899969,frozenset({38801})
1623,0.0003860182389729,frozenset({43420})
1624,0.0002951904180381,frozenset({3080})
1626,0.0003853961306104,frozenset({47804})
1627,0.0003757534509906,frozenset({31986})
1628,0.0002273806065183,frozenset({29683})
1629,0.0009390725732952,frozenset({44834})
1630,0.0005885145109886,frozenset({14701})
1631,0.0003857071847916,frozenset({13283})
1632,0.0003838408597039,frozenset({8728})
1633,0.0003070104769269,frozenset({49352})
1634,0.0002796377089739,frozenset({1497})
1635,0.0002276916606996,frozenset({1199})
1636,0.00020840630146,frozenset({3993})
1639,0.0004388974497911,frozenset({17300})
1642,0.0005340800292639,frozenset({16380})
1643,0.0005020414485917,frozenset({32641})
1644,0.0003458922495873,frozenset({39027})
1645,0.0003412264368681,frozenset({30523})
1648,0.0010933554472119,frozenset({35743})
1649,0.0004295658243526,frozenset({20787})
1650,0.0003903729975109,frozenset({22544})
1651,0.0006840081446426,frozenset({26447})
1658,0.0006861855239116,frozenset({34613})
1660,0.0005536764426848,frozenset({16822})
1661,0.0011509004707493,frozenset({789})
1662,0.0007959876499047,frozenset({48751})
1663,0.0006298847170993,frozenset({906})
1664,0.0004762239515452,frozenset({44995})
1668,0.0011481009831178,frozenset({44571})
1669,0.0008342473142026,frozenset({29688})
1670,0.000825848851308,frozenset({38043})
1671,0.0004034372731248,frozenset({22230})
1672,0.0003741981800841,frozenset({741})
1675,0.0006625454061341,frozenset({48179})
1676,0.000379486101166,frozenset({10021})
1677,0.0003589565252012,frozenset({22303})
1679,0.0007228899173031,frozenset({48199})
1681,0.0005822934273629,frozenset({4452})
1687,0.0004849334686211,frozenset({14236})
1691,0.0008491779149042,frozenset({49470})
1692,0.0008330030974775,frozenset({22166})
1693,0.0007452858183555,frozenset({1934})
1694,0.0005844708066319,frozenset({16904})
1695,0.0003057662602017,frozenset({33766})
1697,0.000740308951455,frozenset({41901})
1698,0.0002447996406702,frozenset({47542})
1704,0.0003337611365173,frozenset({46610})
1706,0.0003281621612542,frozenset({6012})
1708,0.0005235041871003,frozenset({41714})
1709,0.0003303395405232,frozenset({31016})
1715,0.0008186946051384,frozenset({37635})
1722,0.0003430927619558,frozenset({309})
1725,0.0003346942990611,frozenset({35778})
